date,accuracy,f1_score,precision,recall
2025-08-12 11:08:26,0.4827586206896552,0.5945945945945946,0.5238095238095238,0.6875
2025-08-12 18:24:08,0.4642857142857143,0.5714285714285714,0.5,0.6666666666666666
2025-08-13 06:36:11,0.4642857142857143,0.5714285714285714,0.5,0.6666666666666666
2025-08-13 20:54:17,0.4827586206896552,0.5945945945945946,0.5238095238095238,0.6875
2025-08-14 06:36:33,0.4827586206896552,0.5945945945945946,0.5238095238095238,0.6875
2025-08-14 21:07:28,0.4666666666666667,0.5789473684210527,0.5238095238095238,0.6470588235294118
2025-08-14 22:36:32,0.4666666666666667,0.5789473684210527,0.5238095238095238,0.6470588235294118
2025-08-15 06:35:47,0.4666666666666667,0.5789473684210527,0.5238095238095238,0.6470588235294118
2025-08-16 06:32:44,0.4516129032258064,0.5641025641025641,0.5,0.6470588235294118
2025-08-17 06:33:40,0.4516129032258064,0.5641025641025641,0.5,0.6470588235294118
2025-08-18 06:38:27,0.4516129032258064,0.5641025641025641,0.5,0.6470588235294118
2025-08-19 06:35:00,0.46875,0.5641025641025641,0.5,0.6470588235294118
2025-08-20 06:34:49,0.4848484848484848,0.5641025641025641,0.5,0.6470588235294118
2025-08-21 06:43:25,0.47058823529411764,0.55,0.4782608695652174,0.6470588235294118
